type_of_action,traveled_distance_pixel,elapsed_time,direction_of_movement,straightness,num_points,sum_of_angles,mean_curv,sd_curv,max_curv,min_curv,mean_omega,sd_omega,max_omega,min_omega,largest_deviation,dist_end_to_end_line,num_critical_points,mean_vx,sd_vx,max_vx,min_vx,mean_vy,sd_vy,max_vy,min_vy,mean_v,sd_v,max_v,min_v,mean_a,sd_a,max_a,min_a,mean_jerk,sd_jerk,max_jerk,min_jerk,a_beg_time,userid
4,1261.6176736130537,2.528347969055176,5,0.2665522737126352,109,26.556884909899015,-58177641.753189616,423539624.9137294,11.655764048101261,-3141592653.5897927,2.634813015709666,38.468985958785694,234.36788838018396,-118.06846261589996,441.12553451332263,336.28705945760476,33,-89.56563661559036,4607.320161755812,44398.96245733788,-14112.950495049505,417.80089616862864,13875.518916975068,124305.91126279863,-70402.53465346535,3335.194849403837,14241.365074910002,131997.07361211788,0.0,26187481.308331374,202888056.9132821,1884976267.4038079,-27272256.02268056,370426775130.84973,2884440419321.347,26983677676007.52,-408419983236.6745,0.01549601554871316,user1
4,960.3394754914209,3.288203001022339,3,0.7177607370713965,105,125.22343794608952,-25461518.081888672,258406186.54576075,12.003697303268464,-2647997885.0838065,10.173551196833408,85.22041534191209,663.1053161422042,-336.36187930170485,219.27280804065563,689.2939697674806,20,2630.3548885656023,15675.864696753795,114366.74509803922,-2089.124497991968,9081.19670655981,53467.34928191929,400390.6928104575,-272.46894277510876,9786.98104712449,55660.5073249602,416404.2017962331,0.0,129197749.2182222,846056900.0027666,6475529312.975862,-60653760.0243705,2047625479713.176,13873791140958.22,118524639757528.84,-1039933950679.6587,0.03275489807128906,user1
4,933.2272645252668,2.9237401485443115,8,0.2970113897759377,100,-42.95438826075586,15866629.59091162,157071619.02304038,1570796326.7948964,-1.27232843416268,5.802378820439041,44.53744096209282,400.43433411665427,-99.51087724645602,245.9648815704278,277.17912681344615,17,1306.294540380262,9483.46656011933,92312.83582089552,-3935.491862269321,-574.403838860534,2700.1100772001682,4600.84630738523,-25187.34328358209,2387.7207917376068,9672.738342523715,95687.31326033048,0.0,13877721.542551814,150008145.04095343,1493821197.6234238,-123623620.91543053,210317604761.4782,2354550730325.343,23379314218551.715,-2575571477667.726,0.03188514709472656,user1
4,2035.2938530232918,5.119411945343018,1,0.1873451258694928,157,82.14030489770772,-0.12032330930195624,0.7838311755368357,0.04158681316415189,-6.8156586382965,-10.530088549067942,21.57002773963578,32.53898070172461,-205.3355767830562,421.21371741648585,381.3023830760536,44,94.23354406253257,5050.245614664203,27323.10656231186,-52610.21453287197,-253.41851631654106,2460.7400563604506,6788.226291272375,-23956.33731451321,2228.7173377418626,5163.927025733355,52610.21453287197,0.0,5210369.7291587535,60816283.911129095,760800054.11768,-11427594.49816145,70234036635.45058,881386134913.105,11041861040594.717,-172056176122.17892,0.03260684013366699,user1
4,5567.366153046604,18.682904958724976,8,0.09131729884930646,355,122.35396676852875,5398710.055965503,72554963.7497248,1109873506.6910222,-10.053096491487338,1.5903127672685595,83.98476647781594,862.9100686327179,-1104.5811724440273,359.2596494569647,508.39683880127046,45,5606.075063121513,62390.15757442777,987976.2051282051,-71470.76160990712,-2415.031406607616,41745.67707814082,442824.52012383903,-510004.5128205128,10100.58447463923,74635.59448716992,1111846.0257593305,0.0,89084570.3263972,985914801.8122549,16625068486.97484,-163355482.11186028,1534959664453.3997,22370453504103.79,406759635272617.3,-26730632564718.12,0.0735468864440918,user1
4,2451.1026646735495,6.583960771560683,4,0.265623809048035,124,131.28636041249197,-51082807.326934785,397330994.47568387,5.122596938337497,-3141592653.5897927,9.404473308786491,26.09743075474317,190.66683982308598,-126.52962006262996,554.2972980295511,651.0712261583767,24,-546.4184093497926,2077.457611410235,4708.9486282153475,-6407.762037125787,403.2315814094642,2373.7732298557257,7519.034156949496,-5956.914255979104,2482.262240937456,2061.5946322020955,8796.755093838407,0.0,14199.068507476162,232599.8832244391,1534961.0390577966,-714993.6197793807,2404775.3826146936,57845738.88100514,376646639.4898881,-277102815.8445159,0.01627802848815918,user1
4,726.6833345530788,0.6325361728667929,2,0.5538147530404933,65,107.16533043686383,-49087385.18605047,389619041.3501597,1.872956221374473,-3141592653.5897927,12.507370209935498,72.54182290997304,530.1447126370819,-158.79136399948672,195.458539743671,402.44795146415555,17,12226.76983253898,63266.17700753904,452317.7975708502,-2272.78869536085,543.1112589553954,866.2048763930259,2266.4114688435698,-2726.339144086765,13138.970573941438,63091.32893410741,452317.7975708502,0.0,152123878.19425812,979225801.9953018,7659686740.723188,-134901432.73249993,2326658255060.04,16321211642177.834,130271515323028.66,-2367504696512.186,0.02737116813659668,user1
1,780.0771659757444,0.2952079772949219,1,0.3403866069463662,37,0.5035729044384176,-0.006363819252173015,0.01919761329970968,0.08447980244947342,-0.06018954761876591,-15.548924208109193,32.33282044151523,127.50914102305288,-83.27001340947957,272.3751343795864,265.52781968282096,5,941.4678940726485,2049.76379298035,6527.288812417106,-1285.377466581795,-144.85069224902225,2305.285264694692,4895.76026095996,-6891.99097483367,2718.220453311722,1741.9795763567647,8159.287209891575,567.101059010965,7059.250327773045,247452.34948737174,557468.6142378971,-616952.0199235975,-508996.4702043544,54497274.20312785,103888526.38911492,-151930083.38643974,0.022411108016967773,user1
4,656.9946243188675,1.007453203201294,7,0.9506486765739031,69,-84.86540392789419,30173836.767093465,246983498.10909843,2051820897.6211562,-6.001848651634232,-2.248955236031075,40.38387536924117,207.39752940665286,-180.5089815244566,26.453936483601463,624.5710701249001,20,-333.6294993832802,708.8907950848024,270.876317909559,-2974.763245468218,-1067.5353342513959,1562.7679429236264,45.82391621291916,-7064.997184567514,1176.849619953976,1676.524711280411,7665.729031510017,0.0,11232.859381567456,113661.35372149886,405213.1318359326,-580465.7988042589,1829559.445848215,22236717.113568112,85012330.41952626,-79337304.89864136,0.015029191970825195,user1
4,55.826209669031535,0.7140519618988037,1,0.9138605258287162,46,-36.21053729203356,34906584.97383064,231544090.5898319,1570796326.7948964,-6.001848651634232,-5.32057691066648,59.49063015773528,194.09607932657147,-205.76524303261007,6.144863114966902,51.01736932316532,26,136.20613209165174,199.32359398147605,672.3098564895126,0.0,-23.84204569528813,23.857026308195877,0.0,-103.93760912582935,147.40915808883202,194.13950266704794,672.3098564895126,0.0,449.94535487603684,11168.41748039672,29142.33726376466,-38019.809570965226,62159.07037089386,2225660.0663934564,8196137.1918065185,-5358918.948912867,0.04917097091674805,user1
